state_key,state,no,constituency_name,reserved,y2021_winner_name,y2016_winner_name,y2026_winner_name,status,updated_at,y2021_winner_party,y2016_winner_party,y2026_winner_party
TAMIL_NADU,Tamil Nadu,8,Ambattur,GEN,Joseph Samuel,V. Alexander,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,9,Madavaram,GEN,S. Sudharsanam,S. Sudharsanam,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,10,Thiruvottiyur,GEN,K. P. Shankar,K. P. P. Samy,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,11,Dr. Radhakrishnan Nagar,GEN,J. John Ebenezer,J. Jayalalithaa,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,12,Perambur,GEN,R. D. Sekar,P. Vetrivel,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,13,Kolathur,GEN,M. K. Stalin,M. K. Stalin,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,14,Villivakkam,GEN,A. Vetriazhagan,B. Ranganathan,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,15,Thiru-VI-Ka-Nagar (SC),SC,P. Sivakumar,P. Sivakumar @ Thayagamkavi,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,16,Egmore (SC),SC,I. Paranthamen,K. S. Ravichandran,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,17,Royapuram,GEN,Idream R. Murthy,D. Jayakumar,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,18,Harbour,GEN,P. K. Sekar Babu,P. K. Sekar Babu,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,19,Chepauk-Thiruvallikeni,GEN,Udhayanidhi Stalin,J. Anbazhagan,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,20,Thousand Lights,GEN,Ezhilan Naganathan,K. K. Selvam,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,21,Anna Nagar,GEN,M. K. Mohan,M. K. Mohan,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,22,Virugambakkam,GEN,A. M. V. Prabhakara Raja,V.N.Virugai Ravi,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,23,Saidapet,GEN,Ma.Subramanian,M. Subramaniam,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,24,Thiyagarayanagar,GEN,J. Karunanithi,B. Sathyanarayanan,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,25,Mylapore,GEN,Dha. Velu,R Nataraj IPS (Rtd),,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,26,Velachery,GEN,Aassan Maulaana,Vagai Chanderasekar,,,2026-04-06T06:49:21Z,INC,DMK,
TAMIL_NADU,Tamil Nadu,27,Shozhinganallur,GEN,S. Aravind Ramesh,S. Aravind Ramesh,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,28,Alandur,GEN,T. M. Anbarasan,Anbarasan. T.M.,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,29,Sriperumbudur (SC),SC,K. Selvaperunthagai,Palani. K,,,2026-04-06T06:49:21Z,INC,AIADMK,
TAMIL_NADU,Tamil Nadu,30,Pallavaram,GEN,I. Karunanithi,Karunanithi. I,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,31,Tambaram,GEN,S. R. Raja,S. R. Raja,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,32,Chengalpattu,GEN,M. Varalakshmi,M. Varalakshmi,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,33,Thiruporur,GEN,S. S. Balaji,Kothandapani. M,,,2026-04-06T06:49:21Z,VCK,AIADMK,
TAMIL_NADU,Tamil Nadu,34,Cheyyur (SC),SC,M. Babu,Arasu R T,,,2026-04-06T06:49:21Z,VCK,DMK,
TAMIL_NADU,Tamil Nadu,35,Madurantakam (SC),SC,Maragatham Kumaravel,S.Pugazhenthi,,,2026-04-06T06:49:21Z,AIADMK,DMK,
TAMIL_NADU,Tamil Nadu,36,Uthiramerur,GEN,K. Sundar,K. Sundar,,,2026-04-06T06:49:21Z,DMK,DMK,
